Average of rating,Year,Month,Earliest Date
5,2014,April,2014-04-01 00:00:00
5,2014,June,2014-06-01 00:00:00
4.666666666666667,2014,July,2014-07-01 00:00:00
5,2014,August,2014-08-01 00:00:00
1,2014,September,2014-09-01 00:00:00
3.8,2014,October,2014-10-01 00:00:00
4.666666666666667,2014,November,2014-11-01 00:00:00
4.875,2014,December,2014-12-01 00:00:00
4.4,2015,January,2015-01-01 00:00:00
5,2015,February,2015-02-01 00:00:00
3.3333333333333335,2015,March,2015-03-01 00:00:00
3.4,2015,April,2015-04-01 00:00:00
3.875,2015,May,2015-05-01 00:00:00
5,2015,June,2015-06-01 00:00:00
4.333333333333333,2015,July,2015-07-01 00:00:00
3,2015,August,2015-08-01 00:00:00
3.933333333333333,2015,September,2015-09-01 00:00:00
3.25,2015,October,2015-10-01 00:00:00
4.6,2015,November,2015-11-01 00:00:00
4.266666666666667,2015,December,2015-12-01 00:00:00
4.452830188679245,2016,January,2016-01-01 00:00:00
4.666666666666667,2016,February,2016-02-01 00:00:00
4.642857142857143,2016,March,2016-03-01 00:00:00
4.26,2016,April,2016-04-01 00:00:00
4.4186046511627906,2016,May,2016-05-01 00:00:00
4.647058823529412,2016,June,2016-06-01 00:00:00
4.698630136986301,2016,July,2016-07-01 00:00:00
4.328571428571428,2016,August,2016-08-01 00:00:00
4.018518518518518,2016,September,2016-09-01 00:00:00
4.488888888888889,2016,October,2016-10-01 00:00:00
4.15625,2016,November,2016-11-01 00:00:00
4.455696202531645,2016,December,2016-12-01 00:00:00
4.256756756756757,2017,January,2017-01-01 00:00:00
4.26,2017,February,2017-02-01 00:00:00
4.622950819672131,2017,March,2017-03-01 00:00:00
4.4423076923076925,2017,April,2017-04-01 00:00:00
4.083333333333333,2017,May,2017-05-01 00:00:00
4.34375,2017,June,2017-06-01 00:00:00
4.235294117647059,2017,July,2017-07-01 00:00:00
